mc	staff	LayoutBreak/subtype	Measure	voice/KeySig/accidental	voice/TimeSig/sigD	voice/TimeSig/sigN	voice/TimeSig/subtype	vspacerUp
9	21		∅					
9	22		∅					
9	23		∅					
9	24		∅					
9	25		∅					
9	26		∅					
9	27		∅					
9	28		∅					
9	29		∅					
9	30		∅					
10	1		∅					
10	2		∅					
10	3		∅					
10	4		∅					
10	5		∅					
10	6		∅					
10	7		∅					
10	8		∅					
10	9		∅					
10	10		∅					
10	11		∅					
10	12		∅					
10	13		∅					
10	14		∅					
10	15		∅					
10	16		∅					
10	17		∅					
10	18		∅					
10	19		∅					
10	20		∅					
10	21		∅					
10	22		∅					
10	23		∅					
10	24		∅					
10	25		∅					
10	26		∅					
10	27		∅					
10	28		∅					
10	29		∅					
10	30		∅					
11	1		∅					
11	2		∅					
11	3		∅					
11	4		∅					
11	5		∅					
11	6		∅					
11	7		∅					
11	8		∅					
11	9		∅					
11	10		∅					
11	11		∅					
11	12		∅					
11	13		∅					
11	14		∅					
11	15		∅					
11	16		∅					
11	17		∅					
11	18		∅					
11	19		∅					
11	20		∅					
11	21		∅					
11	22		∅					
11	23		∅					
11	24		∅					
11	25		∅					
11	26		∅					
11	27		∅					
11	28		∅					
11	29		∅					
11	30		∅					
12	1	line						
12	2		∅					
12	3		∅					
12	4		∅					
12	5		∅					
12	6		∅					
12	7		∅					
12	8		∅					
12	9		∅					
12	10		∅					
12	11		∅					
12	12		∅					
12	13		∅					
12	14		∅					
12	15		∅					
12	16		∅					
12	17		∅					
12	18		∅					
12	19		∅					
12	20		∅					
12	21		∅					
12	22		∅					
12	23		∅					
12	24		∅					
12	25		∅					
12	26		∅					
12	27		∅					
12	28		∅					
12	29		∅					
12	30		∅					
13	1		∅					
13	2		∅					
13	3		∅					
13	4		∅					
13	5		∅					
13	6		∅					
13	7		∅					
13	8		∅					
13	9		∅					
13	10		∅					
13	11		∅					
13	12		∅					
13	13		∅					
13	14		∅					
13	15		∅					
13	16		∅					
13	17		∅					
13	18		∅					
13	19		∅					
13	20		∅					
13	21							6.78419
13	22		∅					
13	23		∅					
13	24		∅					
13	25		∅					
13	26		∅					
13	27		∅					
13	28		∅					
13	29		∅					
13	30		∅					
14	1		∅					
14	2		∅					
14	3		∅					
14	4		∅					
14	5		∅					
14	6		∅					
14	7		∅					
14	8		∅					
14	9		∅					
14	10		∅					
14	11		∅					
14	12		∅					
14	13		∅					
14	14		∅					
14	15		∅					
14	16		∅					
14	17		∅					
14	18		∅					
14	19		∅					
14	20		∅					
14	21		∅					
14	22		∅					
14	23		∅					
14	24		∅					
14	25		∅					
14	26		∅					
14	27		∅					
14	28		∅					
14	29		∅					
14	30		∅					
15	1	line						
15	2		∅					
15	3		∅					
15	4		∅					
15	5		∅					
15	6		∅					
15	7		∅					
15	8		∅					
15	9		∅					
15	10		∅					
15	11		∅					
15	12		∅					
15	13		∅					
15	14		∅					
15	15		∅					
15	16		∅					
15	17		∅					
15	18		∅					
15	19		∅					
15	20		∅					
15	21		∅					
15	22		∅					
15	23		∅					
15	24		∅					
15	25		∅					
15	26		∅					
15	27		∅					
15	28		∅					
15	29		∅					
15	30		∅					
16	1		∅					
16	2		∅					
16	3		∅					
16	4		∅					
16	5		∅					
16	6		∅					
16	7		∅					
16	8		∅					
16	9		∅					
16	10		∅					
16	11		∅					
16	12		∅					
16	13		∅					
16	14		∅					
16	15		∅					
16	16		∅					
16	17		∅					
16	18		∅					
16	19		∅					
16	20		∅					
16	21							7.17028
16	22		∅					
16	23		∅					
16	24		∅					
16	25		∅					
16	26		∅					
16	27		∅					
16	28		∅					
16	29		∅					
16	30		∅					
17	1		∅					
17	2		∅					
17	3		∅					
17	4		∅					
17	5		∅					
17	6		∅					
17	7		∅					
17	8		∅					
17	9		∅					
17	10		∅					
17	11		∅					
17	12		∅					
17	13		∅					
17	14		∅					
17	15		∅					
17	16		∅					
17	17		∅					
17	18		∅					
17	19		∅					
17	20		∅					
17	21		∅					
17	22		∅					
17	23		∅					
17	24		∅					
17	25		∅					
17	26		∅					
17	27		∅					
17	28		∅					
17	29		∅					
17	30		∅					
18	1		∅					
18	2		∅					
18	3		∅					
18	4		∅					
18	5		∅					
18	6		∅					
18	7		∅					
18	8		∅					
18	9		∅					
18	10		∅					
18	11		∅					
18	12		∅					
18	13		∅					
18	14		∅					
18	15		∅					
18	16		∅					
18	17		∅					
18	18		∅					
18	19		∅					
18	20		∅					
18	21		∅					
18	22		∅					
18	23		∅					
18	24		∅					
18	25		∅					
18	26		∅					
18	27		∅					
18	28		∅					
18	29		∅					
18	30		∅					
19	1		∅					
19	2		∅					
19	3		∅					
19	4		∅					
19	5		∅					
19	6		∅					
19	7		∅					
19	8		∅					
19	9		∅					
19	10		∅					
19	11		∅					
19	12		∅					
19	13		∅					
19	14		∅					
19	15		∅					
19	16		∅					
19	17		∅					
19	18		∅					
19	19		∅					
19	20		∅					
19	21		∅					
19	22		∅					
19	23		∅					
19	24		∅					
19	25		∅					
19	26		∅					
19	27		∅					
19	28		∅					
19	29		∅					
19	30		∅					
20	1	line						
20	2		∅					
20	3		∅					
20	4		∅					
20	5		∅					
20	6		∅					
20	7		∅					
20	8		∅					
20	9		∅					
20	10		∅					
20	11		∅					
20	12		∅					
20	13		∅					
20	14		∅					
20	15		∅					
20	16		∅					
20	17		∅					
20	18		∅					
20	19		∅					
20	20		∅					
20	21		∅					
20	22		∅					
20	23		∅					
20	24		∅					
20	25		∅					
20	26		∅					
20	27		∅					
20	28		∅					
20	29		∅					
20	30		∅					
21	1		∅		8	6		
21	2		∅		8	6		
21	3		∅		8	6		
21	4		∅		8	6		
21	5		∅		8	6		
21	6		∅		8	6		
21	7		∅		8	6		
21	8		∅		8	6		
21	9		∅		8	6		
21	10		∅		8	6		
21	11		∅		8	6		
21	12		∅		8	6		
21	13		∅		8	6		
21	14		∅		8	6		
21	15		∅		8	6		
21	16		∅		8	6		
21	17		∅		8	6		
21	18		∅		8	6		
21	19		∅		8	6		
21	20		∅		8	6		
21	21				8	6		6.78419
21	22		∅		8	6		
21	23		∅		8	6		
21	24		∅		8	6		
21	25		∅		8	6		
21	26		∅		8	6		
21	27		∅		8	6		
21	28		∅		8	6		
21	29		∅		8	6		
21	30		∅		8	6		
22	1		∅					
22	2		∅					
22	3		∅					
22	4		∅					
22	5		∅					
22	6		∅					
22	7		∅					
22	8		∅					
22	9		∅					
22	10		∅					
22	11		∅					
22	12		∅					
22	13		∅					
22	14		∅					
22	15		∅					
22	16		∅					
22	17		∅					
22	18		∅					
22	19		∅					
22	20		∅					
22	21		∅					
22	22		∅					
22	23		∅					
22	24		∅					
22	25		∅					
22	26		∅					
22	27		∅					
22	28		∅					
22	29		∅					
22	30		∅					
23	1		∅					
23	2		∅					
23	3		∅					
23	4		∅					
23	5		∅					
23	6		∅					
23	7		∅					
23	8		∅					
23	9		∅					
23	10		∅					
23	11		∅					
23	12		∅					
23	13		∅					
23	14		∅					
23	15		∅					
23	16		∅					
23	17		∅					
23	18		∅					
23	19		∅					
23	20		∅					
23	21		∅					
23	22		∅					
23	23		∅					
23	24		∅					
23	25		∅					
23	26		∅					
23	27		∅					
23	28		∅					
23	29		∅					
23	30		∅					
24	1		∅					
24	2		∅					
24	3		∅					
24	4		∅					
24	5		∅					
24	6		∅					
24	7		∅					
24	8		∅					
24	9		∅					
24	10		∅					
24	11		∅					
24	12		∅					
24	13		∅					
24	14		∅					
24	15		∅					
24	16		∅					
24	17		∅					
24	18		∅					
24	19		∅					
24	20		∅					
24	21		∅					
24	22		∅					
24	23		∅					
24	24		∅					
24	25		∅					
24	26		∅					
24	27		∅					
24	28		∅					
24	29		∅					
24	30		∅					
25	1		∅					
25	2		∅					
25	3		∅					
25	4		∅					
25	5		∅					
25	6		∅					
25	7		∅					
25	8		∅					
25	9		∅					
25	10		∅					
25	11		∅					
25	12		∅					
25	13		∅					
25	14		∅					
25	15		∅					
25	16		∅					
25	17		∅					
25	18		∅					
25	19		∅					
25	20		∅					
25	21		∅					
25	22		∅					
25	23		∅					
25	24		∅					
25	25		∅					
25	26		∅					
25	27		∅					
25	28		∅					
25	29		∅					
25	30		∅					
26	1		∅					
26	2		∅					
26	3		∅					
26	4		∅					
26	5		∅					
26	6		∅					
26	7		∅					
26	8		∅					
26	9		∅					
26	10		∅					
26	11		∅					
26	12		∅					
26	13		∅					
26	14		∅					
26	15		∅					
26	16		∅					
26	17		∅					
26	18		∅					
26	19		∅					
26	20		∅					
26	21		∅					
26	22		∅					
26	23		∅					
26	24		∅					
26	25		∅					
26	26		∅					
26	27		∅					
26	28		∅					
26	29		∅					
26	30		∅					
27	1		∅					
27	2		∅					
27	3		∅					
27	4		∅					
27	5		∅					
27	6		∅					
27	7		∅					
27	8		∅					
27	9		∅					
27	10		∅					
27	11		∅					
27	12		∅					
27	13		∅					
27	14		∅					
27	15		∅					
27	16		∅					
27	17		∅					
27	18		∅					
27	19		∅					
27	20		∅					
27	21		∅					
27	22		∅					
27	23		∅					
27	24		∅					
27	25		∅					
27	26		∅					
27	27		∅					
27	28		∅					
27	29		∅					
27	30		∅					
28	1		∅					
28	2		∅					
28	3		∅					
28	4		∅					
28	5		∅					
28	6		∅					
28	7		∅					
28	8		∅					
28	9		∅					
28	10		∅					
28	11		∅					
28	12		∅					
28	13		∅					
28	14		∅					
28	15		∅					
28	16		∅					
28	17		∅					
28	18		∅					
28	19		∅					
28	20		∅					
28	21		∅					
28	22		∅					
28	23		∅					
28	24		∅					
28	25		∅					
28	26		∅					
28	27		∅					
28	28		∅					
28	29		∅					
28	30		∅					
29	1		∅		2	2	2	
29	2		∅		2	2	2	
29	3		∅		2	2	2	
29	4		∅		2	2	2	
29	5		∅		2	2	2	
29	6		∅		2	2	2	
29	7		∅		2	2	2	
29	8		∅		2	2	2	
29	9		∅		2	2	2	
29	10		∅		2	2	2	
29	11		∅		2	2	2	
29	12		∅		2	2	2	
29	13		∅		2	2	2	
29	14		∅		2	2	2	
29	15		∅		2	2	2	
29	16		∅		2	2	2	
29	17		∅		2	2	2	
29	18		∅		2	2	2	
29	19		∅		2	2	2	
29	20		∅		2	2	2	
29	21		∅		2	2	2	
29	22		∅		2	2	2	
29	23		∅		2	2	2	
29	24		∅		2	2	2	
29	25		∅		2	2	2	
29	26		∅		2	2	2	
29	27		∅		2	2	2	
29	28		∅		2	2	2	
29	29		∅		2	2	2	
29	30		∅		2	2	2	
30	1		∅					
30	2		∅					
30	3		∅					
30	4		∅					
30	5		∅					
30	6		∅					
30	7		∅					
30	8		∅					
30	9		∅					
30	10		∅					
30	11		∅					
30	12		∅					
30	13		∅					
30	14		∅					
30	15		∅					
30	16		∅					
30	17		∅					
30	18		∅					
30	19		∅					
30	20		∅					
30	21		∅					
30	22		∅					
30	23		∅					
30	24		∅					
30	25		∅					
30	26		∅					
30	27		∅					
30	28		∅					
30	29		∅					
30	30		∅					
31	1	line						
31	2		∅					
31	3		∅					
31	4		∅					
31	5		∅					
31	6		∅					
31	7		∅					
31	8		∅					
31	9		∅					
31	10		∅					
31	11		∅					
31	12		∅					
31	13		∅					
31	14		∅					
31	15		∅					
31	16		∅					
31	17		∅					
31	18		∅					
31	19		∅					
31	20		∅					
31	21		∅					
31	22		∅					
31	23		∅					
31	24		∅					
31	25		∅					
31	26		∅					
31	27		∅					
31	28		∅					
31	29		∅					
31	30		∅					
32	1		∅					
32	2		∅					
32	3		∅					
32	4		∅					
32	5		∅					
32	6		∅					
32	7		∅					
32	8		∅					
32	9		∅					
32	10		∅					
32	11		∅					
32	12		∅					
32	13		∅					
32	14		∅					
32	15		∅					
32	16		∅					
32	17		∅					
32	18		∅					
32	19		∅					
32	20		∅					
32	21							6.78419
32	22		∅					
32	23		∅					
32	24		∅					
32	25		∅					
32	26		∅					
32	27		∅					
32	28		∅					
32	29		∅					
32	30		∅					
33	1		∅					
33	2		∅					
33	3		∅					
33	4		∅					
33	5		∅					
33	6		∅					
33	7		∅					
33	8		∅					
33	9		∅					
33	10		∅					
33	11		∅					
33	12		∅					
33	13		∅					
33	14		∅					
33	15		∅					
33	16		∅					
33	17		∅					
33	18		∅					
33	19		∅					
33	20		∅					
33	21		∅					
33	22		∅					
33	23		∅					
33	24		∅					
33	25		∅					
33	26		∅					
33	27		∅					
33	28		∅					
33	29		∅					
33	30		∅					
34	1		∅					
34	2		∅					
34	3		∅					
34	4		∅					
34	5		∅					
34	6		∅					
34	7		∅					
34	8		∅					
34	9		∅					
34	10		∅					
34	11		∅					
34	12		∅					
34	13		∅					
34	14		∅					
34	15		∅					
34	16		∅					
34	17		∅					
34	18		∅					
34	19		∅					
34	20		∅					
34	21		∅					
34	22		∅					
34	23		∅					
34	24		∅					
34	25		∅					
34	26		∅					
34	27		∅					
34	28		∅					
34	29		∅					
34	30		∅					
35	1		∅					
35	2		∅					
35	3		∅					
35	4		∅					
35	5		∅					
35	6		∅					
35	7		∅					
35	8		∅					
35	9		∅					
35	10		∅					
35	11		∅					
35	12		∅					
35	13		∅					
35	14		∅					
35	15		∅					
35	16		∅					
35	17		∅					
35	18		∅					
35	19		∅					
35	20		∅					
35	21		∅					
35	22		∅					
35	23		∅					
35	24		∅					
35	25		∅					
35	26		∅					
35	27		∅					
35	28		∅					
35	29		∅					
35	30		∅					
36	1		∅					
36	2		∅					
36	3		∅					
36	4		∅					
36	5		∅					
36	6		∅					
36	7		∅					
36	8		∅					
36	9		∅					
36	10		∅					
36	11		∅					
36	12		∅					
36	13		∅					
36	14		∅					
36	15		∅					
36	16		∅					
36	17		∅					
36	18		∅					
36	19		∅					
36	20		∅					
36	21		∅					
36	22		∅					
36	23		∅					
36	24		∅					
36	25		∅					
36	26		∅					
36	27		∅					
36	28		∅					
36	29		∅					
36	30		∅					
37	1		∅					
37	2		∅					
37	3		∅					
37	4		∅					
37	5		∅					
37	6		∅					
37	7		∅					
37	8		∅					
37	9		∅					
37	10		∅					
37	11		∅					
37	12		∅					
37	13		∅					
37	14		∅					
37	15		∅					
37	16		∅					
37	17		∅					
37	18		∅					
37	19		∅					
37	20		∅					
37	21		∅					
37	22		∅					
37	23		∅					
37	24		∅					
37	25		∅					
37	26		∅					
37	27		∅					
37	28		∅					
37	29		∅					
37	30		∅					
38	1		∅					
38	2		∅					
38	3		∅					
38	4		∅					
38	5		∅					
38	6		∅					
38	7		∅					
38	8		∅					
38	9		∅					
38	10		∅					
38	11		∅					
38	12		∅					
38	13		∅					
38	14		∅					
38	15		∅					
38	16		∅					
38	17		∅					
38	18		∅					
38	19		∅					
38	20		∅					
38	21		∅					
38	22		∅					
38	23		∅					
38	24		∅					
38	25		∅					
38	26		∅					
38	27		∅					
38	28		∅					
38	29		∅					
38	30		∅					
39	1	line						
39	2		∅					
39	3		∅					
39	4		∅					
39	5		∅					
39	6		∅					
39	7		∅					
39	8		∅					
39	9		∅					
39	10		∅					
39	11		∅					
39	12		∅					
39	13		∅					
39	14		∅					
39	15		∅					
39	16		∅					
39	17		∅					
39	18		∅					
39	19		∅					
39	20		∅					
39	21		∅					
39	22		∅					
39	23		∅					
39	24		∅					
39	25		∅					
39	26		∅					
39	27		∅					
39	28		∅					
39	29		∅					
39	30		∅					
40	1		∅	-3	8	6		
40	2		∅	-3	8	6		
40	3		∅	-3	8	6		
40	4		∅	0	8	6		
40	5		∅	-3	8	6		
40	6		∅	0	8	6		
40	7		∅	-3	8	6		
40	8		∅	-3	8	6		
40	9		∅	-3	8	6		
40	10		∅	0	8	6		
40	11		∅	-1	8	6		
40	12		∅	-3	8	6		
40	13		∅	-3	8	6		
40	14		∅	-3	8	6		
40	15		∅	-3	8	6		
40	16		∅	-3	8	6		
40	17		∅		8	6		
40	18		∅		8	6		
40	19		∅	-3	8	6		
40	20		∅	-3	8	6		
40	21			-3	8	6		6.78419
40	22		∅	-3	8	6		
40	23		∅	-3	8	6		
40	24		∅	-3	8	6		
40	25		∅	-3	8	6		
40	26		∅	-3	8	6		
40	27		∅	-3	8	6		
40	28		∅	-3	8	6		
40	29		∅	-3	8	6		
40	30		∅	-3	8	6		
41	1		∅					
41	2		∅					
41	3		∅					
41	4		∅					
41	5		∅					
41	6		∅					
41	7		∅					
41	8		∅					
41	9		∅					
41	10		∅					
41	11		∅					
41	12		∅					
41	13		∅					
41	14		∅					
41	15		∅					
41	16		∅					
41	17		∅					
41	18		∅					
41	19		∅					
41	20		∅					
41	21		∅					
41	22		∅					
41	23		∅					
41	24		∅					
41	25		∅					
41	26		∅					
41	27		∅					
41	28		∅					
41	29		∅					
41	30		∅					
42	1		∅					
42	2		∅					
42	3		∅					
42	4		∅					
42	5		∅					
42	6		∅					
42	7		∅					
42	8		∅					
42	9		∅					
42	10		∅					
42	11		∅					
42	12		∅					
42	13		∅					
42	14		∅					
42	15		∅					
42	16		∅					
42	17		∅					
42	18		∅					
42	19		∅					
42	20		∅					
42	21		∅					
42	22		∅					
42	23		∅					
42	24		∅					
42	25		∅					
42	26		∅					
42	27		∅					
42	28		∅					
42	29		∅					
42	30		∅					
43	1		∅					
43	2		∅					
43	3		∅					
43	4		∅					
43	5		∅					
43	6		∅					
43	7		∅					
43	8		∅					
43	9		∅					
43	10		∅					
43	11		∅					
43	12		∅					
43	13		∅					
43	14		∅					
43	15		∅					
43	16		∅					
43	17		∅					
43	18		∅					
43	19		∅					
43	20		∅					
43	21		∅					
43	22		∅					
43	23		∅					
43	24		∅					
43	25		∅					
43	26		∅					
43	27		∅					
43	28		∅					
43	29		∅					
43	30		∅					
44	1		∅					
44	2		∅					
44	3		∅					
44	4		∅					
44	5		∅					
44	6		∅					
44	7		∅					
44	8		∅					
44	9		∅					
44	10		∅					
44	11		∅					
44	12		∅					
44	13		∅					
44	14		∅					
44	15		∅					
44	16		∅					
44	17		∅					
44	18		∅					
44	19		∅					
44	20		∅					
44	21		∅					
44	22		∅					
44	23		∅					
44	24		∅					
44	25		∅					
44	26		∅					
44	27		∅					
44	28		∅					
44	29		∅					
44	30		∅					
45	1		∅					
45	2		∅					
45	3		∅					
45	4		∅					
45	5		∅					
45	6		∅					
45	7		∅					
45	8		∅					
45	9		∅					
45	10		∅					
45	11		∅					
45	12		∅					
45	13		∅					
45	14		∅					
45	15		∅					
45	16		∅					
45	17		∅					
45	18		∅					
45	19		∅					
45	20		∅					
45	21		∅					
45	22		∅					
45	23		∅					
45	24		∅					
45	25		∅					
45	26		∅					
45	27		∅					
45	28		∅					
45	29		∅					
45	30		∅					
46	1		∅					
46	2		∅					
46	3		∅					
46	4		∅					
46	5		∅					
46	6		∅					
46	7		∅					
46	8		∅					
46	9		∅					
46	10		∅					
46	11		∅					
46	12		∅					
46	13		∅					
46	14		∅					
46	15		∅					
46	16		∅					
46	17		∅					
46	18		∅					
46	19		∅					
46	20		∅					
46	21		∅					
46	22		∅					
46	23		∅					
46	24		∅					
46	25		∅					
46	26		∅					
46	27		∅					
46	28		∅					
46	29		∅					
46	30		∅					
47	1		∅					
47	2		∅					
47	3		∅					
47	4		∅					
47	5		∅					
47	6		∅					
47	7		∅					
47	8		∅					
47	9		∅					
47	10		∅					
47	11		∅					
47	12		∅					
47	13		∅					
47	14		∅					
47	15		∅					
47	16		∅					
47	17		∅					
47	18		∅					
47	19		∅					
47	20		∅					
47	21		∅					
47	22		∅					
47	23		∅					
47	24		∅					
47	25		∅					
47	26		∅					
47	27		∅					
47	28		∅					
47	29		∅					
47	30		∅					
48	1	line						
48	2		∅					
48	3		∅					
48	4		∅					
48	5		∅					
48	6		∅					
48	7		∅					
48	8		∅					
48	9		∅					
48	10		∅					
48	11		∅					
48	12		∅					
48	13		∅					
48	14		∅					
48	15		∅					
48	16		∅					
48	17		∅					
48	18		∅					
48	19		∅					
48	20		∅					
48	21		∅					
48	22		∅					
48	23		∅					
48	24		∅					
48	25		∅					
48	26		∅					
48	27		∅					
48	28		∅					
48	29		∅					
48	30		∅					
49	1		∅					
49	2		∅					
49	3		∅					
49	4		∅					
49	5		∅					
49	6		∅					
49	7		∅					
49	8		∅					
49	9		∅					
49	10		∅					
49	11		∅					
49	12		∅					
49	13		∅					
49	14		∅					
49	15		∅					
49	16		∅					
49	17		∅					
49	18		∅					
49	19		∅					
49	20		∅					
49	21							6.78419
49	22		∅					
49	23		∅					
49	24		∅					
49	25		∅					
49	26		∅					
49	27		∅					
49	28		∅					
49	29		∅					
49	30		∅					
50	1		∅					
50	2		∅					
50	3		∅					
50	4		∅					
50	5		∅					
50	6		∅					
50	7		∅					
50	8		∅					
50	9		∅					
50	10		∅					
50	11		∅					
50	12		∅					
50	13		∅					
50	14		∅					
50	15		∅					
50	16		∅					
50	17		∅					
50	18		∅					
50	19		∅					
50	20		∅					
50	21		∅					
50	22		∅					
50	23		∅					
50	24		∅					
50	25		∅					
50	26		∅					
50	27		∅					
50	28		∅					
50	29		∅					
50	30		∅					
51	1		∅					
51	2		∅					
51	3		∅					
51	4		∅					
51	5		∅					
51	6		∅					
51	7		∅					
51	8		∅					
51	9		∅					
51	10		∅					
51	11		∅					
51	12		∅					
51	13		∅					
51	14		∅					
51	15		∅					
51	16		∅					
51	17		∅					
51	18		∅					
51	19		∅					
51	20		∅					
51	21		∅					
51	22		∅					
51	23		∅					
51	24		∅					
51	25		∅					
51	26		∅					
51	27		∅					
51	28		∅					
51	29		∅					
51	30		∅					
52	1		∅					
52	2		∅					
52	3		∅					
52	4		∅					
52	5		∅					
52	6		∅					
52	7		∅					
52	8		∅					
52	9		∅					
52	10		∅					
52	11		∅					
52	12		∅					
52	13		∅					
52	14		∅					
52	15		∅					
52	16		∅					
52	17		∅					
52	18		∅					
52	19		∅					
52	20		∅					
52	21		∅					
52	22		∅					
52	23		∅					
52	24		∅					
52	25		∅					
52	26		∅					
52	27		∅					
52	28		∅					
52	29		∅					
52	30		∅					
53	1		∅					
53	2		∅					
53	3		∅					
53	4		∅					
53	5		∅					
53	6		∅					
53	7		∅					
53	8		∅					
53	9		∅					
53	10		∅					
53	11		∅					
53	12		∅					
53	13		∅					
53	14		∅					
53	15		∅					
53	16		∅					
53	17		∅					
53	18		∅					
53	19		∅					
53	20		∅					
53	21		∅					
53	22		∅					
53	23		∅					
53	24		∅					
53	25		∅					
53	26		∅					
53	27		∅					
53	28		∅					
53	29		∅					
53	30		∅					
54	1	line						
54	2		∅					
54	3		∅					
54	4		∅					
54	5		∅					
54	6		∅					
54	7		∅					
54	8		∅					
54	9		∅					
54	10		∅					
54	11		∅					
54	12		∅					
54	13		∅					
54	14		∅					
54	15		∅					
54	16		∅					
54	17		∅					
54	18		∅					
54	19		∅					
54	20		∅					
54	21		∅					
54	22		∅					
54	23		∅					
54	24		∅					
54	25		∅					
54	26		∅					
54	27		∅					
54	28		∅					
54	29		∅					
54	30		∅					
55	1		∅					
55	2		∅					
55	3		∅					
55	4		∅					
55	5		∅					
55	6		∅					
55	7		∅					
55	8		∅					
55	9		∅					
55	10		∅					
55	11		∅					
55	12		∅					
55	13		∅					
55	14		∅					
55	15		∅					
55	16		∅					
55	17		∅					
55	18		∅					
55	19		∅					
55	20		∅					
55	21							6.78419
55	22		∅					
55	23		∅					
